"u:0","u:1","u:2","p","node_groups"
-0.021205,0.0096076,0,-0.039957,0
-0.026284,0.012951,0,-0.038354,0
-0.031267,0.016835,0,-0.036806,0
-0.036158,0.021263,0,-0.035867,0
-0.040967,0.026203,0,-0.035386,0
-0.045704,0.031644,0,-0.035412,0
-0.050382,0.037575,0,-0.035951,0
-0.055012,0.043989,0,-0.037028,0
-0.059607,0.050881,0,-0.038671,0
-0.064179,0.058246,0,-0.040913,0
-0.068734,0.06608,0,-0.043794,0
-0.073278,0.074378,0,-0.047357,0
-0.077815,0.083131,0,-0.051648,0
-0.082342,0.092332,0,-0.056719,0
-0.086853,0.10197,0,-0.062622,0
-0.091339,0.11202,0,-0.069415,0
-0.095785,0.12246,0,-0.077156,0
-0.10017,0.13327,0,-0.085906,0
-0.10447,0.14441,0,-0.095728,0
-0.10866,0.15583,0,-0.10668,0
-0.11269,0.16748,0,-0.11883,0
-0.11653,0.17928,0,-0.13224,0
-0.12011,0.19115,0,-0.14695,0
-0.12337,0.20298,0,-0.16302,0
-0.12624,0.21466,0,-0.18049,0
-0.12862,0.22603,0,-0.19937,0
-0.13038,0.23692,0,-0.21967,0
-0.13138,0.24712,0,-0.24138,0
-0.13143,0.25638,0,-0.26443,0
-0.13029,0.26443,0,-0.28873,0
-0.12765,0.27092,0,-0.31412,0
-0.1231,0.27549,0,-0.34036,0
-0.11613,0.27769,0,-0.36713,0
-0.10604,0.27705,0,-0.39396,0
-0.09198,0.27306,0,-0.42027,0
-0.072814,0.26519,0,-0.44527,0
-0.047135,0.25296,0,-0.46797,0
-0.013199,0.23597,0,-0.48715,0
0.031084,0.21401,0,-0.50137,0
0.088119,0.1872,0,-0.509,0
0.16051,0.15614,0,-0.50828,0
0.25081,0.12208,0,-0.49753,0
0.36116,0.087044,0,-0.47531,0
0.49274,0.05385,0,-0.44074,0
0.64514,0.025921,0,-0.39378,0
0.81587,0.0069006,0,-0.33527,0
1,0,0,-0.26742,0
0,0,0,0,0
-0.0063205,0.0043347,0,-0.062938,0
-0.012458,0.004603,0,-0.041286,0
-0.018424,0.0069283,0,-0.043089,0
-0.024232,0.0095625,0,-0.039325,0
-0.029892,0.012893,0,-0.037728,0
-0.03542,0.016755,0,-0.036194,0
-0.04083,0.021148,0,-0.035271,0
-0.046139,0.026039,0,-0.034806,0
-0.051362,0.031416,0,-0.034844,0
-0.056517,0.037265,0,-0.035389,0
-0.061618,0.043578,0,-0.036461,0
-0.066679,0.050349,0,-0.038087,0
-0.071711,0.057573,0,-0.040296,0
-0.076722,0.065244,0,-0.043124,0
-0.081716,0.073356,0,-0.046611,0
-0.086692,0.0819,0,-0.0508,0
-0.091647,0.090866,0,-0.055737,0
